cabang,nomor_ulok,nama_toko,lingkup_pekerjaan,id_toko,opname_final_id,tipe_opname,aksi,status_opname_final,tanggal_opname_final,opname_item_count,berkas_serah_terima_id,link_pdf_opname,link_pdf_serah_terima
LOMBOK,1SZ1-2603-0004,PEMONGKONG,ME,1314,70,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-04,0,,,
LOMBOK,1SZ1-2605-0003,ALFAMART KERTASARI,SIPIL,1975,192,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-23,2,,,
LUWU,2VZ1-2603-0002-R,TELLULIMPOE WAJO,SIPIL,1219,220,OPNAME,active,Proses KTK/Approval Kontraktor,2026-04-14,5,,,
LUWU,2VZ1-2603-0003,SEBA-SEBA LUWU,SIPIL,1297,221,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-25,98,,,
LUWU,2VZ1-2603-0004,TAMUKU LUWU UTARA,ME,1371,222,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-11,30,,,
LUWU,2VZ1-2603-0004,TAMUKU LUWU UTARA,SIPIL,1369,223,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-11,95,,,
LUWU,2VZ1-2603-0006,LARA LUWU UTARA,ME,1341,224,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-11,30,,,
LUWU,2VZ1-2603-0006,LARA LUWU UTARA,SIPIL,1337,225,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-11,97,,,
LUWU,2VZ1-2603-R353-R,AP PETTARANI WAJO,ME,1126,279,OPNAME_FINAL,terkunci,Disetujui,2026-05-11,8,,https://drive.google.com/file/d/1KyjoBD_ffPV1KrmdYbSW7l2PqIIkd2Mn/view?usp=drivesdk,
LUWU,2VZ1-2603-R353-R,AP PETTARANI WAJO,SIPIL,1125,280,OPNAME_FINAL,terkunci,Disetujui,2026-05-09,6,,https://drive.google.com/file/d/14n3OrHQ9xVcNllAVSmsT0XbisXbFgb5v/view?usp=drivesdk,
LUWU,2VZ1-2603-R531-R,TANCUNG WAJO,ME,1128,281,OPNAME_FINAL,terkunci,Disetujui,2026-05-11,8,,https://drive.google.com/file/d/1rQTNu2dKz0LEDIslGD_SW3vxjY0j7EoT/view?usp=drivesdk,
LUWU,2VZ1-2603-R531-R,TANCUNG WAJO,SIPIL,1127,282,OPNAME_FINAL,terkunci,Disetujui,2026-05-09,6,,https://drive.google.com/file/d/18v_oPb3maoPvhFA7SPCU7lDA-VJLlBr1/view?usp=drivesdk,
LUWU,2VZ1-2603-R614-R,PANCA RIJANG SIDRAP,ME,1133,283,OPNAME_FINAL,terkunci,Disetujui,2026-05-11,8,,https://drive.google.com/file/d/1z0guZKahePlVtfeUfcQY5vjHqEWnGghs/view?usp=drivesdk,
LUWU,2VZ1-2603-R614-R,PANCA RIJANG SIDRAP,SIPIL,1132,284,OPNAME_FINAL,terkunci,Disetujui,2026-05-11,6,,https://drive.google.com/file/d/1znja9rJFr8opsyXsAM_I_fk_LVwNz_Tr/view?usp=drivesdk,
LUWU,2VZ1-2603-R702-R,ULUGALUNG WAJO,ME,1130,285,OPNAME_FINAL,terkunci,Disetujui,2026-05-11,8,,https://drive.google.com/file/d/1Q-mZCbFeJLbTJp-i7E9UDnhwS-GfX4Db/view?usp=drivesdk,
LUWU,2VZ1-2603-R702-R,ULUGALUNG WAJO,SIPIL,1129,286,OPNAME_FINAL,terkunci,Disetujui,2026-05-11,6,,https://drive.google.com/file/d/1n5BqE9ZhgcntD2YH2WXRjwJYWMltO7V0/view?usp=drivesdk,
LUWU,2VZ1-2604-0001-R,KH. MUH. KASIM PALOPO,SIPIL,1495,196,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-24,79,,https://drive.google.com/file/d/1BwD9Aa_Jj9VskXYMaGknHuhvRFv5Nh-V/view?usp=drivesdk,
LUWU,2VZ1-2604-0008,BERINGIN SENGKANG,SIPIL,1897,136,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-19,1,,,
LUWU,2VZ1-2605-0001,ANDI MAKKASAU 2 SIDRAP,SIPIL,1907,205,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-25,5,,https://drive.google.com/file/d/10IJESq_x5VNluxoJMu7FuyphPrvEMh30/view?usp=drivesdk,
LUWU,2VZ1-2605-0008,SAKTI BUA,SIPIL,2045,197,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-24,4,,https://drive.google.com/file/d/1t5kyIXr7dG3qvgzxpiedvEh-vu1-nLEC/view?usp=drivesdk,
MAKASSAR,RZ01-2604-0004,TAMALAYYANG GOWA,SIPIL,1411,315,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-29,3,,,
MANADO,1YZ1-2601-0003,ALFAMART MAWALI LEMBEH,SIPIL,945,191,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-23,3,,,
MANADO,1YZ1-2603-0001,A.A. MARAMIS BITUNG,SIPIL,1357,86,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-15,15,,,
MANADO,1YZ1-2604-0001,WENANG MANADO,SIPIL,1446,55,OPNAME_FINAL,terkunci,Disetujui,2026-05-28,62,,https://drive.google.com/file/d/1vhJf5UkZGcp-E-XgseRWDHUehBboTb10/view?usp=drivesdk,
MANADO,1YZ1-2604-1Y02-R,LANSOT,SIPIL,1282,126,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-17,1,,,
MEDAN,WZ01-2602-0026,RINGROAD SUNGGAL,ME,1275,243,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-04,36,,,
MEDAN,WZ01-2604-0010,SUNGAI KANAN,SIPIL,1847,314,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-29,6,,https://drive.google.com/file/d/1cJzIIqx2bLZO_7ju9KMr0XfCUy77JL3A/view?usp=drivesdk,
