nomor_ulok,nama_toko,cabang,st_rows,st_pdf_rows,sipil_st_pdfs,me_st_pdfs
2VZ1-2603-0001,BULU CENRANA SIDRAP,LUWU,2,2,1,1
2VZ1-2603-0002-R,TELLULIMPOE WAJO,LUWU,1,1,1,0
2VZ1-2603-0003,SEBA-SEBA LUWU,LUWU,1,1,1,0
2VZ1-2603-0004,TAMUKU LUWU UTARA,LUWU,2,2,1,1
2VZ1-2603-0006,LARA LUWU UTARA,LUWU,2,2,1,1
